name_ar,name_en,name_ku,category,lat,lng,address_ar,phone_numbers,properties
جامع الحضرة,Al-Hadra Mosque,,mosque,34.4211,44.3067,مركز الرمادي,,"{""historical"": true, ""capacity"": 2000}"
سوق الرمادي المركزي,Ramadi Central Market,,market,35.4198,43.3045,مركز الرمادي,,"{""type"": ""سوق شعبي""}"
مستشفى الفلوجة العام,Fallujah General Hospital,,hospital,34.3512,43.7876,مركز الفلوجة,"+964 24 287 3333","{""type"": ""عام"", ""emergency_service"": true, ""capacity"": 200}"
مسجد الفلوجة الكبير,Fallujah Grand Mosque,,mosque,34.3489,43.7841,مركز الفلوجة,,"{""historical"": true, ""capacity"": 5000}"
محطة وقود الرمادي,Ramadi Gas Station,,gas_station,34.4234,43.3123,طريق بغداد - الرمادي,,"{""fuel_types"": [""بنزين"", ""ديزل""], ""24h_service"": false}"
جامع القائم الكبير,Al-Qaim Grand Mosque,,mosque,35.3989,41.0128,مركز القائم,,"{""capacity"": 1500}"
مستشفى القائم العام,Al-Qaim General Hospital,,hospital,35.3967,41.0156,مركز القائم,"+964 24 267 4444","{""type"": ""عام"", ""emergency_service"": true, ""capacity"": 100}"
كلية التربية - جامعة الأنبار,College of Education - Anbar University,,university,34.4401,43.2989,الرمادي - الأنبار,"+964 24 234 5100","{""part_of"": ""جامعة الأنبار""}"
مدرسة الرمادي الثانوية,Ramadi High School,,school,34.4178,43.3056,مركز الرمادي,"+964 24 234 6666","{""type"": ""ثانوية"", ""capacity"": 1000}"
مبنى محافظة الأنبار,Anbar Governorate Building,,government,34.4223,43.3078,مركز الرمادي,"+964 24 234 7777","{""department_type"": ""محافظة"", ""working_hours"": ""08:00-14:00""}"
موقف الرمادي المركزي,Ramadi Central Bus Station,,station,34.4189,43.3034,مركز الرمادي,,"{""type"": ""موقف باصات""}"
حديقة الرمادي العامة,Ramadi Public Park,,landmark,34.4167,43.3098,مركز الرمادي,,"{""type"": ""حديقة عامة"", ""area_sqm"": 50000}"
مول الرمادي التجاري,Ramadi Commercial Mall,,market,34.4245,43.3112,الرمادي,"+964 750 555 6666","{""type"": ""مول"", ""floors"": 2, ""parking_spaces"": 300}"
فندق الرمادي,Ramadi Hotel,,hotel,34.4201,43.3089,مركز الرمادي,"+964 24 234 8888","{""stars"": 3, ""rooms_count"": 50}"}
